City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Filiatra,GR,72.75,clear sky,37.15,21.5833,Hotel Limenari
3,Payo,ID,73.72,moderate rain,-3.7508,103.6372,Mess keban agung
6,Mecca,SA,87.24,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
8,Mampong,GH,81.66,light rain,7.0627,-1.4001,Adom Upscale Hotel
9,Saint-Philippe,RE,72.99,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
10,Saint George,US,88.54,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
11,Albany,US,74.17,clear sky,42.6001,-73.9662,
12,Rikitea,PF,71.87,overcast clouds,-23.1203,-134.9692,Pension Maro'i
16,Labuhan,ID,79.7,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
17,Kavieng,PG,80.67,moderate rain,-2.5744,150.7967,Nusa Island Retreat
23,Cabedelo,BR,84.87,few clouds,-6.9811,-34.8339,Hotel Pigalle
25,Honiara,SB,76.17,light rain,-9.4333,159.95,Heritage Park Hotel
27,Bonthe,SL,83.95,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
29,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Mini Hotel Central
35,Hilo,US,79.79,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
36,Mangrol,IN,84.9,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
39,Lufilufi,WS,81.25,few clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
40,Belmonte,BR,81.1,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
41,Xuddur,SO,75.94,overcast clouds,4.1213,43.8894,Banjanay Hotel
44,Norfolk,US,82.63,broken clouds,42.1668,-71.2495,Residence Inn by Marriott Boston Norwood/Canton
46,Ratnagiri,IN,83.55,overcast clouds,16.9833,73.3,Hotel Landmark
47,Meulaboh,ID,76.91,overcast clouds,4.1363,96.1285,Kost Pria
48,Port Shepstone,ZA,70.34,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
52,Boqueirao,BR,80.92,overcast clouds,-7.5,-36.1333,Hotel Chique Chique
