City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rundu,NA,-17.9333,19.7667,62.74,27,0,4.83,clear sky
1,Filiatra,GR,37.15,21.5833,72.75,80,9,15.1,clear sky
2,Vaini,TO,-21.2,-175.2,68.16,88,20,6.91,few clouds
3,Payo,ID,-3.7508,103.6372,73.72,96,100,1.97,moderate rain
4,Maarianhamina,AX,60.0973,19.9348,46.26,93,90,9.22,overcast clouds
5,Leningradskiy,RU,69.3833,178.4167,28.96,95,29,10.0,scattered clouds
6,Mecca,SA,21.4267,39.8261,87.24,43,1,2.44,clear sky
7,Punta Arenas,CL,-53.15,-70.9167,35.71,55,0,15.52,clear sky
8,Mampong,GH,7.0627,-1.4001,81.66,67,81,2.75,light rain
9,Saint-Philippe,RE,-21.3585,55.7679,72.99,80,55,6.29,broken clouds
10,Saint George,US,37.1041,-113.5841,88.54,13,1,1.01,clear sky
11,Albany,US,42.6001,-73.9662,74.17,50,4,1.01,clear sky
12,Rikitea,PF,-23.1203,-134.9692,71.87,58,90,7.92,overcast clouds
13,Barrow,US,71.2906,-156.7887,30.22,80,90,11.5,overcast clouds
14,Busselton,AU,-33.65,115.3333,58.08,80,1,10.09,clear sky
15,Khatanga,RU,71.9667,102.5,19.11,94,53,6.02,broken clouds
16,Labuhan,ID,-6.8844,112.2051,79.7,87,61,8.37,broken clouds
17,Kavieng,PG,-2.5744,150.7967,80.67,82,100,11.34,moderate rain
18,Mataura,NZ,-46.1927,168.8643,49.48,100,100,1.45,light rain
19,Hobart,AU,-42.8794,147.3294,44.46,80,40,1.99,scattered clouds
20,Ancud,CL,-41.8697,-73.8203,51.42,81,35,27.76,light rain
21,Gorin,RU,51.1983,136.6669,40.06,93,89,1.81,overcast clouds
22,Tasiilaq,GL,65.6145,-37.6368,42.96,87,100,11.65,overcast clouds
23,Cabedelo,BR,-6.9811,-34.8339,84.87,77,24,17.2,few clouds
24,Bredasdorp,ZA,-34.5322,20.0403,58.28,68,90,6.91,overcast clouds
25,Honiara,SB,-9.4333,159.95,76.17,89,100,4.21,light rain
26,Port Alfred,ZA,-33.5906,26.891,63.23,80,93,13.76,overcast clouds
27,Bonthe,SL,7.5264,-12.505,83.95,71,32,10.76,scattered clouds
28,Dikson,RU,73.5069,80.5464,18.7,97,34,6.4,scattered clouds
29,Victoria,HK,22.2855,114.1577,86.38,82,92,3.0,overcast clouds
30,Zyryanka,RU,65.75,150.85,50.99,47,19,10.09,few clouds
31,Shitanjing,CN,39.2342,106.3439,57.78,24,0,3.65,clear sky
32,Vilyuysk,RU,63.7553,121.6247,45.34,91,74,4.0,broken clouds
33,Cherskiy,RU,68.75,161.3,52.0,39,47,3.87,scattered clouds
34,Tanabe,JP,33.7333,135.3667,61.93,92,94,7.96,overcast clouds
35,Hilo,US,19.7297,-155.09,79.79,73,1,0.0,clear sky
36,Mangrol,IN,21.1167,70.1167,84.9,73,94,13.89,overcast clouds
37,Homer,US,59.6425,-151.5483,59.07,75,1,12.66,clear sky
38,Lebedinyy,RU,58.5167,125.5167,43.86,95,100,3.33,moderate rain
39,Lufilufi,WS,-13.8745,-171.5986,81.25,70,19,5.57,few clouds
40,Belmonte,BR,-15.8631,-38.8828,81.1,61,42,8.48,scattered clouds
41,Xuddur,SO,4.1213,43.8894,75.94,66,94,10.16,overcast clouds
42,Panaba,MX,21.2833,-88.2667,94.01,36,22,8.32,few clouds
43,East London,ZA,-33.0153,27.9116,65.34,72,0,11.5,clear sky
44,Norfolk,US,42.1668,-71.2495,82.63,48,75,1.01,broken clouds
45,Batagay-Alyta,RU,67.8006,130.4114,47.61,60,94,3.83,overcast clouds
46,Ratnagiri,IN,16.9833,73.3,83.55,73,99,5.82,overcast clouds
47,Meulaboh,ID,4.1363,96.1285,76.91,88,97,5.01,overcast clouds
48,Port Shepstone,ZA,-30.7414,30.455,70.34,59,99,7.7,overcast clouds
49,Bluff,NZ,-46.6,168.3333,49.8,87,100,4.36,light rain
50,Ushuaia,AR,-54.8,-68.3,31.66,86,75,28.77,light snow
51,Chokurdakh,RU,70.6333,147.9167,33.67,74,0,8.68,clear sky
52,Boqueirao,BR,-7.5,-36.1333,80.92,60,85,16.04,overcast clouds
53,Lakselv,NO,70.0513,24.9718,44.42,70,75,19.57,broken clouds
54,Ayan,RU,56.45,138.1667,35.65,83,67,0.69,broken clouds
55,Puerto Ayora,EC,-0.7393,-90.3518,82.36,89,60,8.01,broken clouds
56,Kilindoni,TZ,-7.9139,39.6668,79.29,69,1,18.14,clear sky
57,Wilmington,US,34.2257,-77.9447,94.91,50,1,6.91,clear sky
58,Breves,BR,-1.6822,-50.4803,92.17,43,55,3.11,broken clouds
59,Adrar,MR,20.5022,-10.0711,103.91,11,8,5.35,clear sky
60,Lixourion,GR,38.2019,20.4314,71.46,83,20,8.84,few clouds
61,Adiake,CI,5.2863,-3.304,83.79,77,90,9.57,overcast clouds
62,Yazman,PK,29.1212,71.7446,102.43,12,0,9.64,clear sky
63,Atuona,PF,-9.8,-139.0333,78.69,74,51,14.94,broken clouds
64,Kota Bahru,MY,6.1333,102.2386,74.7,94,100,5.97,overcast clouds
65,Avarua,CK,-21.2078,-159.775,80.65,89,75,12.66,light rain
66,Emerald,AU,-23.5333,148.1667,51.35,50,0,13.62,clear sky
67,Naze,JP,28.3667,129.4833,68.9,91,100,7.14,moderate rain
68,Marzuq,YE,14.4,46.4667,80.55,48,58,6.49,broken clouds
69,Aklavik,CA,68.2191,-135.0107,33.42,62,100,8.79,overcast clouds
70,Kodiak,US,57.79,-152.4072,47.71,76,1,5.75,clear sky
71,Galle,LK,6.0367,80.217,80.82,83,98,17.4,overcast clouds
72,Upernavik,GL,72.7868,-56.1549,36.54,95,26,4.16,scattered clouds
73,Cayenne,GF,4.9333,-52.3333,78.84,89,75,5.03,moderate rain
74,Okato,NZ,-39.2,173.8833,45.68,77,100,11.5,overcast clouds
75,Butaritari,KI,3.0707,172.7902,83.17,79,55,20.83,light rain
76,Yining,CN,29.0361,114.5636,70.38,90,100,3.74,light rain
77,Navoi,UZ,40.0844,65.3792,81.88,16,80,2.84,broken clouds
78,Tazovskiy,RU,67.4667,78.7,24.08,92,64,7.67,broken clouds
79,Thompson,CA,55.7435,-97.8558,55.18,19,44,7.2,scattered clouds
80,Ribeira Grande,PT,38.5167,-28.7,64.8,59,20,13.8,few clouds
81,Campoverde,PE,-8.4753,-74.8058,87.49,47,21,1.05,few clouds
82,Lebu,CL,-37.6167,-73.65,57.27,84,84,8.52,broken clouds
83,El Alto,PE,-4.2714,-81.2147,73.06,75,19,18.9,few clouds
84,Jaroslaw,PL,50.0162,22.6778,62.51,89,93,11.05,light rain
85,Mount Isa,AU,-20.7333,139.5,58.77,33,0,14.97,clear sky
86,Cabo San Lucas,MX,22.8909,-109.9124,99.52,25,40,4.61,scattered clouds
87,Garmsar,IR,35.2182,52.3409,83.48,26,0,1.05,clear sky
88,Nikolskoye,RU,59.7035,30.7861,54.39,98,100,3.53,heavy intensity rain
89,Valparaiso,CL,-33.0393,-71.6273,70.03,59,0,10.36,clear sky
90,Yellowknife,CA,62.456,-114.3525,55.33,53,50,1.99,scattered clouds
91,Djambala,CG,-2.5447,14.7533,77.52,62,100,0.56,overcast clouds
92,Cape Town,ZA,-33.9258,18.4232,61.88,73,20,3.0,few clouds
93,Cavaillon,FR,43.8312,5.0359,79.99,31,0,10.25,clear sky
94,Abu Samrah,SY,35.3029,37.1841,77.34,27,0,11.74,clear sky
95,Gornopravdinsk,RU,60.05,69.9,38.57,87,75,5.39,broken clouds
96,Saint-Pierre,RE,-21.3393,55.4781,73.04,86,90,4.61,overcast clouds
97,Cidreira,BR,-30.1811,-50.2056,69.75,49,1,8.41,clear sky
