City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Okhotsk,RU,2021-05-20 03:17:56,59.3833,143.3,38.21,74,65,7.05
1,Odweyne,SO,2021-05-20 03:17:57,9.4092,45.064,73.06,63,94,12.48
2,Atuona,PF,2021-05-20 03:17:58,-9.8,-139.0333,80.04,77,15,17.45
3,Tevaitoa,PF,2021-05-20 03:17:59,-16.7833,-151.5,81.41,77,100,18.99
4,Vaini,TO,2021-05-20 03:18:00,-21.2,-175.2,78.96,83,75,10.36
5,Katsuura,JP,2021-05-20 03:18:00,35.1333,140.3,75.11,86,100,5.66
6,Hasaki,JP,2021-05-20 03:18:00,35.7333,140.8333,72.18,80,100,9.93
7,Bluff,NZ,2021-05-20 03:18:01,-46.6,168.3333,61.81,77,85,6.49
8,Albany,US,2021-05-20 03:13:27,42.6001,-73.9662,67.32,53,100,3.74
9,Sorong,ID,2021-05-20 03:18:02,-0.8833,131.25,82.29,79,98,5.14
10,Grand Gaube,MU,2021-05-20 03:18:02,-20.0064,57.6608,72.37,76,18,5.99
11,Olafsvik,IS,2021-05-20 03:18:02,64.8945,-23.7142,39.31,68,16,9.78
12,Muros,ES,2021-05-20 03:18:03,42.7762,-9.0603,58.84,52,58,2.86
13,Ceuta,ES,2021-05-20 03:18:03,35.8903,-5.3075,68.11,93,92,17.25
14,Hilo,US,2021-05-20 03:18:03,19.7297,-155.09,76.73,75,90,11.5
15,Bredasdorp,ZA,2021-05-20 03:18:04,-34.5322,20.0403,58.32,89,100,7.16
16,Marquette,US,2021-05-20 03:16:11,46.5333,-87.6335,64.81,94,100,10.29
17,Onega,RU,2021-05-20 03:18:04,63.9061,38.1404,64.31,69,45,9.89
18,Provideniya,RU,2021-05-20 03:18:04,64.3833,-173.3,33.91,75,0,8.95
19,Eureka,US,2021-05-20 03:13:16,40.8021,-124.1637,52.66,76,2,8.01
20,Barrow,US,2021-05-20 03:18:05,71.2906,-156.7887,30.22,80,90,9.22
21,Kaitangata,NZ,2021-05-20 03:18:05,-46.2817,169.8464,58.1,65,64,2.8
22,Bobrov,RU,2021-05-20 03:18:06,51.0961,40.0333,53.74,94,90,11.12
23,Bairiki,KI,2021-05-20 03:18:06,1.3292,172.9752,84.2,81,75,11.45
24,Butaritari,KI,2021-05-20 03:18:06,3.0707,172.7902,81.59,80,81,12.26
25,Punta Arenas,CL,2021-05-20 03:18:07,-53.15,-70.9167,44.71,79,90,10.63
26,Morogoro,TZ,2021-05-20 03:18:07,-6.8167,37.6667,64.51,89,94,2.68
27,Cape Town,ZA,2021-05-20 03:17:06,-33.9258,18.4232,60.89,93,75,5.01
28,Tual,ID,2021-05-20 03:18:07,-5.6667,132.75,79.14,90,100,17.96
29,Laguna,US,2021-05-20 03:18:08,38.421,-121.4238,69.78,45,1,7.0
30,Ushuaia,AR,2021-05-20 03:18:08,-54.8,-68.3,40.66,93,90,0.0
31,Ajaigarh,IN,2021-05-20 03:18:08,24.9,80.2667,87.85,54,97,12.28
32,Searcy,US,2021-05-20 03:18:09,35.2506,-91.7363,74.12,100,90,0.0
33,Mataura,NZ,2021-05-20 03:18:09,-46.1927,168.8643,61.48,70,65,2.71
34,Fortuna,US,2021-05-20 03:18:10,40.5982,-124.1573,52.2,65,90,8.99
35,Upernavik,GL,2021-05-20 03:18:10,72.7868,-56.1549,25.59,76,17,8.7
36,Manaus,BR,2021-05-20 03:13:50,-3.1019,-60.025,75.7,94,75,0.0
37,Qaanaaq,GL,2021-05-20 03:18:11,77.484,-69.3632,27.3,77,35,7.54
38,Dalbandin,PK,2021-05-20 03:18:12,28.8947,64.4101,90.03,8,0,8.05
39,Mahebourg,MU,2021-05-20 03:18:12,-20.4081,57.7,72.25,73,82,25.3
40,Comodoro Rivadavia,AR,2021-05-20 03:18:12,-45.8667,-67.5,49.86,93,0,0.0
41,Hanyang,CN,2021-05-20 03:18:13,32.1371,105.5126,74.95,48,100,1.99
42,Nome,US,2021-05-20 03:18:13,64.5011,-165.4064,47.16,53,1,8.05
43,Asau,RO,2021-05-20 03:18:13,46.4333,26.4,52.75,63,100,2.84
44,Tasiilaq,GL,2021-05-20 03:18:13,65.6145,-37.6368,21.36,71,21,4.92
45,Dagana,MR,2021-05-20 03:18:14,16.5165,-15.5068,79.09,36,100,8.16
46,Hithadhoo,MV,2021-05-20 03:18:14,-0.6,73.0833,84.18,69,18,8.46
47,Busselton,AU,2021-05-20 03:18:14,-33.65,115.3333,68.04,57,17,5.14
48,Praia,CV,2021-05-20 03:18:19,14.9215,-23.5087,72.14,78,0,5.75
49,Licheng,CN,2021-05-20 03:18:20,23.2955,113.8284,91.33,61,100,9.17
50,Codrington,AU,2021-05-20 03:18:20,-38.2667,141.9667,58.33,73,98,7.65
51,Pangai,TO,2021-05-20 03:18:20,-19.8,-174.35,80.71,74,75,14.97
52,Chokurdakh,RU,2021-05-20 03:18:21,70.6333,147.9167,31.98,100,100,6.55
53,Cherskiy,RU,2021-05-20 03:18:21,68.75,161.3,46.15,52,90,5.39
54,Coahuayana,MX,2021-05-20 03:18:21,18.7333,-103.6833,73.47,74,0,0.96
55,Bure,ET,2021-05-20 03:18:22,10.7,37.0667,57.78,91,98,0.92
56,Joaima,BR,2021-05-20 03:18:22,-16.6542,-41.0306,64.76,89,6,0.67
57,Rikitea,PF,2021-05-20 03:18:22,-23.1203,-134.9692,73.36,59,68,18.1
58,Arraial Do Cabo,BR,2021-05-20 03:18:22,-22.9661,-42.0278,70.29,72,50,3.15
59,Dikson,RU,2021-05-20 03:18:23,73.5069,80.5464,21.24,90,100,6.67
60,Yellowknife,CA,2021-05-20 03:14:13,62.456,-114.3525,35.56,34,10,8.99
61,San Policarpo,PH,2021-05-20 03:18:23,12.1791,125.5072,83.23,78,100,6.49
62,Pevek,RU,2021-05-20 03:18:24,69.7008,170.3133,33.71,89,78,6.64
63,Nanakuli,US,2021-05-20 03:18:25,21.3906,-158.1547,82.35,65,1,18.21
64,Parana,AR,2021-05-20 03:13:52,-31.732,-60.5238,60.57,92,100,5.48
65,San Quintin,MX,2021-05-20 03:18:26,30.4833,-115.95,60.85,88,19,15.9
66,Carnarvon,AU,2021-05-20 03:18:26,-24.8667,113.6333,80.67,39,0,9.22
67,Krasnoselkup,RU,2021-05-20 03:18:26,65.7,82.4667,27.57,57,13,8.79
68,Jamestown,US,2021-05-20 03:14:02,42.097,-79.2353,69.44,56,1,1.99
69,Harper,LR,2021-05-20 03:18:27,4.375,-7.7169,78.57,79,100,5.32
70,Sept-Iles,CA,2021-05-20 03:18:27,50.2001,-66.3821,42.06,89,40,3.44
71,Fomboni,KM,2021-05-20 03:18:28,-12.28,43.7425,81.34,65,44,17.63
72,Poland,US,2021-05-20 03:18:28,44.0606,-70.3937,58.93,74,1,0.0
73,Bathsheba,BB,2021-05-20 03:18:28,13.2167,-59.5167,81.21,73,20,16.17
74,Port Alfred,ZA,2021-05-20 03:17:26,-33.5906,26.891,74.17,38,28,14.65
75,Najran,SA,2021-05-20 03:18:29,17.4924,44.1277,70.45,15,29,2.08
76,Makakilo City,US,2021-05-20 03:18:29,21.3469,-158.0858,80.92,65,1,20.49
77,Saldanha,ZA,2021-05-20 03:18:29,-33.0117,17.9442,57.25,93,100,18.75
78,Kodiak,US,2021-05-20 03:18:30,57.79,-152.4072,42.31,100,90,17.27
79,Bethel,US,2021-05-20 03:18:29,41.3712,-73.414,65.64,61,1,0.0
